Percentage,P On Campus [MW] ,Q On Campus [MVAR] ,P Off Campus [MW],Q Off Campus [MVAR],P Output [MW],Q Output [MVAR]
0.084,1.182,0.388,0.209,0.069,1.512,7.035
0.083,1.168,0.384,0.206,0.068,1.512,7.035
0.082,1.154,0.379,0.204,0.067,1.512,7.035
0.081,1.140,0.375,0.201,0.066,1.512,7.035
0.08,1.126,0.370,0.199,0.065,1.347,7.083
0.079,1.112,0.365,0.196,0.064,1.347,7.083
0.078,1.097,0.361,0.194,0.064,1.347,7.083
0.077,1.083,0.356,0.191,0.063,1.347,7.083
0.076,1.069,0.351,0.189,0.062,1.347,7.083
0.075,1.055,0.347,0.186,0.061,1.347,7.083
0.074,1.041,0.342,0.184,0.060,1.347,7.083
0.073,1.027,0.338,0.181,0.060,1.347,7.083
0.072,1.013,0.333,0.179,0.059,1.347,7.083
0.071,0.999,0.328,0.176,0.058,1.347,7.083
0.07,0.985,0.324,0.174,0.057,1.206,7.129
0.069,0.971,0.319,0.171,0.056,1.206,7.129
0.068,0.957,0.314,0.169,0.055,1.206,7.129
0.067,0.943,0.310,0.166,0.055,1.206,7.129
0.066,0.929,0.305,0.164,0.054,1.206,7.129
0.065,0.915,0.301,0.161,0.053,1.206,7.129
0.064,0.900,0.296,0.159,0.052,1.206,7.129
0.063,0.886,0.291,0.156,0.051,1.206,7.129
0.062,0.872,0.287,0.154,0.051,1.206,7.129
0.061,0.858,0.282,0.151,0.050,1.206,7.129
0.06,0.844,0.277,0.149,0.049,1.016,7.18
0.059,0.830,0.273,0.146,0.048,1.016,7.18
0.058,0.816,0.268,0.144,0.047,1.016,7.18
0.057,0.802,0.264,0.142,0.047,1.016,7.18
0.056,0.788,0.259,0.139,0.046,1.016,7.18
0.055,0.774,0.254,0.137,0.045,1.016,7.18
0.054,0.760,0.250,0.134,0.044,1.016,7.18
0.053,0.746,0.245,0.132,0.043,1.016,7.18
0.052,0.732,0.240,0.129,0.042,1.016,7.18
0.051,0.718,0.236,0.127,0.042,1.016,7.18
0.05,0.703,0.231,0.124,0.041,0.875,7.226
0.049,0.689,0.227,0.122,0.040,0.875,7.226
0.048,0.675,0.222,0.119,0.039,0.875,7.226
0.047,0.661,0.217,0.117,0.038,0.875,7.226
0.046,0.647,0.213,0.114,0.038,0.875,7.226
0.045,0.633,0.208,0.112,0.037,0.875,7.226
0.044,0.619,0.203,0.109,0.036,0.875,7.226
0.043,0.605,0.199,0.107,0.035,0.875,7.226
0.042,0.591,0.194,0.104,0.034,0.875,7.226
0.041,0.577,0.190,0.102,0.033,0.875,7.226
0.04,0.563,0.185,0.099,0.033,0.685,7.276
0.039,0.549,0.180,0.097,0.032,0.685,7.276
0.038,0.535,0.176,0.094,0.031,0.685,7.276
0.037,0.521,0.171,0.092,0.030,0.685,7.276
0.036,0.507,0.166,0.089,0.029,0.685,7.276
0.035,0.492,0.162,0.087,0.029,0.685,7.276
0.034,0.478,0.157,0.084,0.028,0.685,7.276
0.033,0.464,0.153,0.082,0.027,0.685,7.276
0.032,0.450,0.148,0.079,0.026,0.685,7.276
0.031,0.436,0.143,0.077,0.025,0.685,7.276
0.03,0.422,0.139,0.074,0.024,0.544,7.322
0.029,0.408,0.134,0.072,0.024,0.544,7.322
0.028,0.394,0.129,0.070,0.023,0.544,7.322
0.027,0.380,0.125,0.067,0.022,0.544,7.322
0.026,0.366,0.120,0.065,0.021,0.544,7.322
0.025,0.352,0.116,0.062,0.020,0.544,7.322
0.024,0.338,0.111,0.060,0.020,0.544,7.322
0.023,0.324,0.106,0.057,0.019,0.544,7.322
0.022,0.310,0.102,0.055,0.018,0.544,7.322
0.021,0.295,0.097,0.052,0.017,0.544,7.322
0.02,0.281,0.092,0.050,0.016,0.403,7.369
0.019,0.267,0.088,0.047,0.016,0.403,7.369
0.018,0.253,0.083,0.045,0.015,0.403,7.369
0.017,0.239,0.079,0.042,0.014,0.403,7.369
0.016,0.225,0.074,0.040,0.013,0.403,7.369
0.015,0.211,0.069,0.037,0.012,0.403,7.369
0.014,0.197,0.065,0.035,0.011,0.403,7.369
0.013,0.183,0.060,0.032,0.011,0.403,7.369
0.012,0.169,0.055,0.030,0.010,0.403,7.369
0.011,0.155,0.051,0.027,0.009,0.403,7.369
0.01,0.141,0.046,0.025,0.008,0.189,7.42
0.009,0.127,0.042,0.022,0.007,0.189,7.42
0.008,0.113,0.037,0.020,0.007,0.189,7.42
0.007,0.098,0.032,0.017,0.006,0.189,7.42
0.006,0.084,0.028,0.015,0.005,0.189,7.42
0.005,0.070,0.023,0.012,0.004,0.189,7.42
0.004,0.056,0.018,0.010,0.003,0.189,7.42
0.003,0.042,0.014,0.007,0.002,0.189,7.42
0.002,0.028,0.009,0.005,0.002,0.189,7.42
0.001,0.014,0.005,0.002,0.001,0.189,7.42
0,0.000,0.000,0.000,0.000,0,0
