DateTime,"ANNEX_AW1_AVERAGE_CURRENT","ANNEX_AW2_AVERAGE_CURRENT","ANNEX_AW3_AVERAGE_CURRENT","ANNEX_AW4_AVERAGE_CURRENT","ANNEX_AW5_AVERAGE_CURRENT","ANNEX_AW6_AVERAGE_CURRENT","ANNEX_AW7_AVERAGE_CURRENT","ANNEX_AW8_AVERAGE_CURRENT","ANNEX_AW9_AVERAGE_CURRENT"
2021-08-12 00:00:01,0,52.0099983215332,15.769999504089355,48.41999816894531,70.68000030517578,304.94000244140625,45.87999725341797,0,67.22000122070312
2021-08-12 00:14:25,0,50,15.289999961853027,45.709999084472656,67.25,337.97998046875,51.709999084472656,0,63.39999771118164
2021-08-12 00:28:49,0,52.369998931884766,15.199999809265137,45.439998626708984,70.5199966430664,327.8699951171875,51.39999771118164,0,63.30999755859375
2021-08-12 00:43:13,0,49,16.979999542236328,47.28999710083008,66.54999542236328,301.67999267578125,47.11000061035156,0,67.45999908447266
2021-08-12 00:57:37,0,50,15.639999389648438,45.73999786376953,70.4000015258789,298.94000244140625,47.279998779296875,0,67.43000030517578
2021-08-12 01:12:01,0,52.06999969482422,15.09999942779541,47,66.12999725341797,323.47998046875,50.2599983215332,0,62.939998626708984
2021-08-12 01:26:25,0,52,15.699999809265137,48.31999969482422,66.27999877929688,326.8399963378906,50.53999710083008,0,67.08000183105469
2021-08-12 01:40:49,0,49,15.170000076293945,45.52000045776367,71.19999694824219,299.2599792480469,46.73999786376953,0,62.84000015258789
2021-08-12 01:55:13,0,50.57999801635742,15.809999465942383,47.03999710083008,69.77999877929688,314.2799987792969,49.62999725341797,0,66.7699966430664
2021-08-12 02:09:37,0,47,14.969999313354492,45.62999725341797,66.04000091552734,281.97998046875,44.75,0,62.779998779296875
2021-08-12 02:24:01,0,48.91999816894531,15.219999313354492,46.90999984741211,69.6199951171875,280.6300048828125,44.31999969482422,0,63
2021-08-12 02:38:25,0,46,16.119998931884766,45.28999710083008,66.40999603271484,310.0899963378906,47.15999984741211,0,65.73999786376953
2021-08-12 02:52:49,0,46,16.06999969482422,46.88999938964844,68.63999938964844,293.07000732421875,45.45000076293945,0,62.84000015258789
2021-08-12 03:07:13,0,47.86000061035156,15.630000114440918,45.619998931884766,66.56999969482422,311.53997802734375,47.31999969482422,0,65.6199951171875
