DateTime,ANNEX_AE2_ACTIVE_POWER,ANNEX_AE4_ACTIVE_POWER,ANNEX_AE5_ACTIVE_POWER,ANNEX_AE7_ACTIVE_POWER,ANNEX_AE9_ACTIVE_POWER
2/13/2021 13:24,0.322400004,0.0006,0.340200037,0.035200004,0.145500004
2/13/2021 13:36,0.315300047,0.0007,0.342100024,0.035,0.135200009
2/13/2021 13:48,0.324800044,0.0006,0.318100035,0.035200004,0.164500013
2/13/2021 14:00,0.333400011,0.0005,0.337900013,0.035200004,0.143800005
2/13/2021 14:12,0.316100031,0.0006,0.317300022,0.035100006,0.135200009
2/13/2021 14:24,0.315300047,0.0006,0.341600031,0.035100006,0.144600019
2/13/2021 14:36,0.325399995,0.0006,0.316600025,0.035300002,0.133800015
2/13/2021 14:48,0.316100031,0.0006,0.32130003,0.035200004,0.144300014
2/13/2021 15:00,0.330000013,0.0006,0.352600008,0.035,0.136100009
2/13/2021 15:12,0.316800028,0.0006,0.343000025,0.035,0.13760002
2/13/2021 15:24,0.327100009,0.0006,0.317900002,0.035200004,0.144300014
2/13/2021 15:36,0.32130003,0.0006,0.319100022,0.035100006,0.136900023
2/13/2021 15:48,0.312600017,0.0006,0.352899998,0.035100006,0.144500002
2/13/2021 16:00,0.313600034,0.0006,0.318700016,0.035,0.136100009
2/13/2021 16:12,0.323800027,0.0006,0.345400006,0.035100006,0.147699997
2/13/2021 16:24,0.314800024,0.0007,0.336100012,0.035,0.147300005
2/13/2021 16:36,0.333400011,0.0006,0.315200031,0.035100006,0.136200011
2/13/2021 16:48,0.317800045,0.0006,0.337800026,0.035,0.144700006
2/13/2021 17:00,0.336300045,0.0006,0.317900002,0.035100006,0.139100015
2/13/2021 17:12,0.318800032,0.0006,0.319100022,0.035200004,0.1435
2/13/2021 17:24,0.328600019,0.0006,0.346400023,0.035100006,0.137800008
2/13/2021 17:36,0.334800035,0.0006,0.323900014,0.035100006,0.134600013
2/13/2021 17:48,0.315500021,0.0006,0.340900004,0.035200004,0.148600012
2/13/2021 18:00,0.318100035,0.0006,0.3574,0.035200004,0.138500005
2/13/2021 18:12,0.33130002,0.0006,0.321100026,0.035100006,0.146600008
2/13/2021 18:24,0.330800027,0.0006,0.319600016,0.035200004,0.140300006
2/13/2021 18:36,0.323400021,0.0006,0.348800033,0.035100006,0.14640002
2/13/2021 18:48,0.32070002,0.0006,0.35830003,0.035100006,0.167700008
2/13/2021 19:00,0.346100032,0.0006,0.325000018,0.035300002,0.142400011
2/13/2021 19:12,0.323200017,0.0006,0.351700038,0.035200004,0.138700008
2/13/2021 19:24,0.332000017,0.0006,0.319900006,0.035100006,0.149200007
2/13/2021 19:36,0.333700031,0.0006,0.342600018,0.035100006,0.148900017
2/13/2021 19:48,0.326700032,0.0006,0.319400012,0.035300002,0.140100017
2/13/2021 20:00,0.335300028,0.0006,0.344900012,0.035200004,0.137800008
2/13/2021 20:12,0.324500024,0.0006,0.32160002,0.035300002,0.158300012
2/13/2021 20:24,0.318700016,0.0006,0.358200043,0.035300002,0.141800016
2/13/2021 20:36,0.334000021,0.0006,0.319000006,0.035200004,0.147
2/13/2021 20:48,0.326200038,0.0007,0.346200019,0.035200004,0.147400022
2/13/2021 21:00,0.318500012,0.0006,0.306400001,0.035300002,0.140800014
2/13/2021 21:12,0.309200019,0.0007,0.329300046,0.035300002,0.140200004
2/13/2021 21:24,0.334700018,0.0006,0.30520004,0.035100006,0.148300007
2/13/2021 21:36,0.314600021,0.0006,0.304399997,0.035200004,0.14850001
2/13/2021 21:48,0.32280004,0.0006,0.322700024,0.035300002,0.129000008
2/13/2021 22:00,0.315800041,0.0006,0.301200032,0.035100006,0.123600006
2/13/2021 22:12,0.327100009,0.0006,0.322300047,0.034900002,0.117700011
